step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
282,8,48,2,0,1,0,0,0,11,11
283,8,48,2,0,1,0,0,0,11,11
284,8,48,2,0,1,0,0,0,11,11
285,8,48,2,0,1,0,0,0,11,11
286,8,48,2,0,1,0,0,0,11,11
287,8,48,2,0,1,0,0,0,11,11
288,8,48,2,0,1,0,0,0,11,11
289,8,48,2,0,1,0,0,0,11,11
290,8,48,2,0,1,0,0,0,11,11
291,8,48,2,0,1,0,0,0,11,11
292,8,48,2,0,1,0,0,0,11,11
293,8,48,2,0,1,0,0,0,11,11
294,8,48,2,0,1,0,0,0,11,11
295,8,48,2,0,1,0,0,0,11,11
296,8,48,2,0,1,0,0,0,11,11
297,8,48,2,0,1,0,0,0,11,11
298,8,48,2,0,1,0,0,0,11,11
299,8,48,2,0,1,0,0,0,11,11
300,8,48,2,0,1,0,0,0,11,11
301,8,48,2,0,1,0,0,0,11,11
302,8,48,2,0,1,0,0,0,11,11
303,8,48,2,0,1,0,0,0,11,11
304,8,48,2,0,1,0,0,0,11,11
305,8,48,2,0,0,0,1,0,11,11
306,8,48,2,0,0,0,1,0,11,11
307,8,48,2,0,0,0,1,0,11,11
308,8,48,2,0,0,0,1,0,11,11
309,8,48,2,0,0,0,1,0,11,11
310,8,48,2,0,0,0,1,0,11,11
311,8,48,2,0,0,0,1,0,11,11
312,8,48,2,0,0,0,1,0,11,11
313,8,48,2,0,0,0,1,0,11,11
314,8,48,2,0,0,0,1,0,11,11
315,8,48,2,0,0,0,1,0,11,11
316,8,48,2,0,0,0,1,0,11,11
317,8,48,2,0,0,0,1,0,11,11
318,8,48,2,0,0,0,1,0,11,11
319,8,48,2,0,0,0,1,0,11,11
320,8,48,2,0,0,0,1,0,11,11
321,8,48,2,0,0,0,1,0,11,11
322,8,48,2,0,0,0,1,0,11,11
323,8,48,2,0,0,0,1,0,11,11
324,8,48,2,0,0,0,1,0,11,11
325,8,48,2,0,0,0,1,0,11,11
326,9,47,2,0,0,0,1,0,11,11
327,9,47,2,0,0,0,1,0,11,11
328,9,47,2,0,0,0,1,0,11,11
329,9,47,2,0,0,0,1,0,11,11
330,9,47,2,0,0,0,1,0,11,11
331,9,47,2,0,0,0,1,0,11,11
332,9,46,3,0,0,0,1,0,11,11
333,9,46,3,0,0,0,1,0,11,11
334,9,46,3,0,0,0,1,0,11,11
335,9,46,3,0,0,0,1,0,11,11
336,9,46,3,0,0,0,1,0,11,11
337,9,46,3,0,0,0,1,0,11,11
338,9,46,3,0,0,0,1,0,11,11
339,9,46,3,0,0,0,1,0,11,11
340,9,46,3,0,0,0,1,0,11,11
341,9,46,3,0,0,0,1,0,11,11
342,9,46,3,0,0,0,1,0,11,11
343,9,46,3,0,0,0,1,0,11,11
344,9,46,3,0,0,0,1,0,11,11
345,9,46,3,0,0,0,1,0,11,11
346,9,46,3,0,0,0,1,0,11,11
347,9,46,3,0,0,0,1,0,11,11
348,9,46,3,0,0,0,1,0,11,11
349,9,46,3,0,0,0,1,0,11,11
350,9,46,3,0,0,0,1,0,11,11
351,9,46,3,0,0,0,1,0,11,11
352,9,45,4,0,0,0,1,0,11,11
353,9,45,4,0,0,0,1,0,11,11
354,9,45,4,0,0,0,1,0,11,11
355,9,45,4,0,0,0,1,0,11,11
356,9,45,4,0,0,0,1,0,11,11
357,10,44,4,0,0,0,1,0,11,11
358,10,44,4,0,0,0,1,0,11,11
359,10,44,4,0,0,0,1,0,11,11
360,10,44,4,0,0,0,1,0,11,11
361,10,44,4,0,0,0,1,1,11,11
362,10,44,4,0,0,0,1,1,11,11
363,10,44,4,0,0,0,1,1,11,11
364,10,43,5,0,0,0,1,1,11,11
365,10,43,5,0,0,0,1,1,11,11
366,10,42,6,0,0,0,1,0,12,12
367,10,42,6,0,0,0,1,1,12,12
368,10,42,6,0,0,0,1,1,12,12
369,10,42,6,0,0,0,1,1,12,12
370,10,42,6,0,0,0,1,1,12,12
371,10,42,6,0,0,0,1,1,12,12
372,10,41,7,0,0,0,1,0,13,13
373,10,41,7,0,0,0,1,0,13,13
374,11,40,7,0,0,0,1,0,13,13
375,11,40,7,0,0,0,1,0,13,13
376,11,40,7,0,0,0,1,0,13,13
377,11,40,7,0,0,0,1,0,13,13
378,11,39,8,0,0,0,1,0,13,13
379,11,39,8,0,0,0,1,0,13,13
380,11,39,8,0,0,0,1,0,13,13
381,11,39,7,1,0,0,1,0,13,13
382,11,39,7,1,0,0,1,0,13,13
383,10,39,7,1,1,0,1,1,13,13
384,10,39,7,1,1,0,1,1,13,13
385,10,39,7,1,1,0,1,1,13,13
386,10,39,7,1,1,0,1,2,13,13
387,10,39,7,1,1,0,1,2,13,13
388,10,39,7,1,1,0,1,1,14,14
389,10,39,7,1,1,0,1,2,14,14
390,10,39,7,1,1,0,1,2,14,14
391,10,39,7,1,1,0,1,1,15,15
392,10,39,7,1,1,0,1,1,15,15
393,10,39,7,1,1,0,1,2,15,15
394,10,39,7,1,1,0,1,1,16,16
395,10,39,7,1,1,0,1,1,16,16
396,10,39,7,1,1,0,1,1,16,16
397,10,39,7,1,1,0,1,1,16,16
398,10,39,7,1,1,0,1,0,17,17
399,10,39,7,1,1,0,1,1,17,17
400,10,39,7,1,1,0,1,1,17,17
401,10,39,7,1,1,0,1,2,17,17
402,10,39,7,1,1,0,1,2,17,17
403,10,39,7,1,1,0,1,2,17,17
404,10,39,7,1,1,0,1,1,18,18
405,10,39,7,1,1,0,1,1,18,18
406,10,39,7,1,1,0,1,0,19,19
407,10,39,7,1,1,0,1,0,19,19
408,10,39,7,1,1,0,1,0,19,19
409,10,39,7,1,1,0,1,0,19,19
410,10,39,7,1,1,0,1,0,19,19
411,10,38,8,1,1,0,1,0,19,19
412,10,38,8,1,1,0,1,0,19,19
413,10,38,8,1,1,0,1,0,19,19
414,10,37,9,1,1,0,1,0,19,19
415,10,37,9,1,1,0,1,0,19,19
416,10,37,9,1,1,0,1,0,19,19
417,10,37,9,1,1,0,1,0,19,19
418,10,37,9,1,1,0,1,0,19,19
419,10,37,9,1,1,0,1,0,19,19
420,10,37,9,1,1,0,1,0,19,19
421,10,37,9,1,1,0,1,0,19,19
422,9,37,9,1,2,0,1,0,19,19
423,9,37,9,1,2,0,1,0,19,19
424,9,37,9,1,2,0,1,1,19,19
425,9,37,9,1,2,0,1,1,19,19
426,9,37,9,1,2,0,1,1,19,19
427,9,37,9,1,2,0,1,1,19,19
428,9,37,9,1,2,0,1,1,19,19
429,9,37,9,1,2,0,1,0,20,20
430,9,37,9,1,2,0,1,0,20,20
431,9,37,9,1,2,0,1,1,20,20
432,9,37,9,1,2,0,1,1,20,20
433,9,37,9,1,2,0,1,1,20,20
434,9,37,9,1,2,0,1,1,20,20
435,9,36,10,1,2,0,1,1,20,20
436,9,36,10,1,2,0,1,0,21,21
437,9,36,10,1,2,0,1,0,21,21
438,9,36,10,1,2,0,1,0,21,21
439,9,36,10,1,2,0,1,0,21,21
440,9,36,10,1,2,0,1,0,21,21
